City,Cloudiness,Country,Date,Lat,Lng,Max Temp,Wind Speed,Humidity
baghdad,0.0,IQ,1549335600.0,33.3,44.38,276.15,2.6,93.0
busselton,56.0,AU,1549336786.0,-33.64,115.35,297.986,3.86,76.0
komsomolskiy,0.0,RU,1549336786.0,67.55,63.78,234.886,1.36,0.0
adrar,0.0,DZ,1549335600.0,27.87,-0.29,277.15,2.6,41.0
apac,24.0,UG,1549336787.0,1.98,32.53,294.161,5.26,64.0
mataura,12.0,NZ,1549336787.0,-46.19,168.86,292.361,11.46,61.0
atuona,68.0,PF,1549336787.0,-9.8,-139.03,300.786,7.71,100.0
okmulgee,1.0,US,1549335300.0,35.62,-95.96,279.85,5.7,92.0
petatlan,5.0,MX,1549334640.0,17.52,-101.27,296.15,1.46,83.0
tasiilaq,24.0,GL,1549335000.0,65.61,-37.64,268.15,13.4,45.0
kapaa,75.0,US,1549335360.0,22.08,-159.32,298.15,8.2,66.0
barrow,0.0,AR,1549336788.0,-38.31,-60.23,292.086,4.71,61.0
mar del plata,0.0,AR,1549336499.0,-46.43,-67.52,291.261,2.21,66.0
la paz,75.0,MX,1549334580.0,24.15,-110.32,294.15,1.06,60.0
namatanai,88.0,PG,1549336790.0,-3.66,152.44,299.336,4.11,100.0
kavieng,76.0,PG,1549336791.0,-2.57,150.8,301.036,6.26,100.0
new norfolk,75.0,AU,1549333800.0,-42.78,147.06,288.15,3.6,72.0
cuautepec,0.0,MX,1549336791.0,16.75,-99,293.411,1.11,98.0
khatanga,68.0,RU,1549336791.0,71.98,102.47,250.936,5.06,65.0
sterling,75.0,US,1549335360.0,39,-77.4,279.85,2.31,92.0
jaunjelgava,80.0,LV,1549336792.0,56.62,25.08,271.736,3.76,87.0
butaritari,88.0,KI,1549336792.0,3.07,172.79,301.886,8.36,100.0
zemio,32.0,CF,1549336793.0,5.02,25.13,302.336,2.81,35.0
mount gambier,44.0,AU,1549332000.0,-37.83,140.78,297.15,7.2,44.0
constitucion,5.0,MX,1549334760.0,23.99,-104.67,288.15,2.6,33.0
hobart,75.0,AU,1549333800.0,-42.88,147.33,288.15,3.6,72.0
puerto ayora,32.0,EC,1549336793.0,-0.74,-90.35,299.936,2.91,97.0
gornoye loo,56.0,RU,1549333800.0,43.72,39.61,280.15,7,52.0
olga,90.0,US,1549335360.0,34.11,-118.17,288.15,1.56,74.0
sayyan,0.0,YE,1549336794.0,15.17,44.32,277.111,1.21,79.0
cayenne,75.0,GF,1549333800.0,4.94,-52.33,298.15,3.1,88.0
torbay,90.0,CA,1549335600.0,47.66,-52.73,272.15,6.2,92.0
jamestown,0.0,AU,1549336795.0,-33.21,138.6,300.586,5.86,64.0
saint-philippe,90.0,CA,1549335960.0,45.36,-73.48,272.55,4.1,100.0
kodiak,1.0,US,1549335300.0,39.95,-94.76,266.85,5.7,81.0
guerrero negro,92.0,MX,1549336796.0,27.97,-114.04,286.861,1.91,98.0
hilo,90.0,US,1549335180.0,19.71,-155.08,294.85,4.6,75.0
hermanus,0.0,ZA,1549336797.0,-34.42,19.24,282.661,1.51,97.0
tiksi,76.0,RU,1549336798.0,71.64,128.87,246.111,4.91,73.0
amazar,32.0,RU,1549336798.0,53.86,120.88,244.536,2.01,26.0
cabo san lucas,75.0,MX,1549334940.0,22.89,-109.91,295.15,4.6,64.0
deming,90.0,US,1549335300.0,32.27,-107.76,286.45,4.1,61.0
eureka,75.0,US,1549335180.0,40.8,-124.16,274.85,2.1,92.0
san patricio,0.0,PY,1549336799.0,-26.98,-56.83,295.536,2.06,66.0
hualmay,12.0,PE,1549336799.0,-11.1,-77.61,294.536,1.66,92.0
rikitea,0.0,PF,1549336800.0,-23.12,-134.97,300.361,2.71,100.0
faanui,56.0,PF,1549336800.0,-16.48,-151.75,301.786,4.76,100.0
cape town,0.0,ZA,1549335600.0,-33.93,18.42,290.15,5.1,100.0
airai,48.0,TL,1549336801.0,-8.93,125.41,298.886,0.86,82.0
zhucheng,92.0,CN,1549332000.0,30.85,114.8,277.15,2,100.0
kaitangata,56.0,NZ,1549336801.0,-46.28,169.85,289.386,7.81,84.0
tessalit,0.0,ML,1549336802.0,20.2,1.01,280.886,6.56,18.0
victoria,75.0,BN,1549333800.0,5.28,115.24,302.15,1.5,79.0
boa vista,20.0,BR,1549335600.0,2.82,-60.67,302.15,4.6,62.0
punta arenas,0.0,CL,1549335600.0,-53.16,-70.91,291.15,4.1,52.0
itarema,32.0,BR,1549336805.0,-2.92,-39.92,297.411,1.61,94.0
dikson,36.0,RU,1549336805.0,73.51,80.55,255.386,8.21,78.0
bethel,90.0,US,1549336140.0,60.79,-161.76,275.35,10.3,92.0
lebu,8.0,ET,1549336807.0,8.96,38.73,275.861,1.16,79.0
ombessa,56.0,CM,1549336807.0,4.6,11.26,296.436,2.36,89.0
cidreira,24.0,BR,1549336807.0,-30.17,-50.22,292.486,3.06,83.0
codrington,40.0,AU,1549332000.0,-28.95,153.24,305.15,6.2,40.0
arraial do cabo,88.0,BR,1549336808.0,-22.97,-42.02,298.186,3.46,88.0
leninskoye,0.0,RU,1549333800.0,54.82,82.85,232.15,1,64.0
tuktoyaktuk,75.0,CA,1549332000.0,69.44,-133.03,254.15,5.7,84.0
nikolskoye,90.0,RU,1549333800.0,59.7,30.79,269.15,4,85.0
impfondo,32.0,CD,1549336810.0,1.62,18.06,296.611,1.56,94.0
callaway,1.0,US,1549335360.0,46.98,-95.91,251.15,4.6,76.0
lompoc,90.0,US,1549335480.0,34.64,-120.46,283.75,2.6,85.0
yellowknife,5.0,CA,1549332000.0,62.45,-114.38,240.15,4.6,74.0
panguna,88.0,PG,1549336811.0,-6.32,155.48,303.486,3.71,65.0
castro,75.0,CL,1549332000.0,-42.48,-73.76,287.15,6.2,100.0
ushuaia,0.0,AR,1549335600.0,-54.81,-68.31,289.15,1.76,55.0
fare,100.0,PF,1549336812.0,-16.7,-151.02,301.361,4.16,100.0
bluff,100.0,AU,1549336812.0,-23.58,149.07,300.161,8.01,59.0
mahebourg,40.0,MU,1549332000.0,-20.41,57.7,300.15,1,88.0
tuatapere,76.0,NZ,1549336813.0,-46.13,167.69,286.911,10.51,97.0
berlevag,36.0,NO,1549336813.0,70.86,29.09,257.136,4.81,100.0
bambanglipuro,80.0,ID,1549336813.0,-7.95,110.28,301.361,3.51,81.0
sao filipe,76.0,CV,1549336814.0,14.9,-24.5,294.486,6.41,99.0
nanyamba,75.0,MZ,1549332000.0,-10.69,39.81,298.15,1.16,100.0
saint-louis,80.0,CH,1549335600.0,47.59,7.56,271.15,2.1,92.0
bredasdorp,0.0,ZA,1549335600.0,-34.53,20.04,287.15,1.5,93.0
damietta,0.0,EG,1549332000.0,31.42,31.81,290.15,3.6,77.0
delta del tigre,0.0,UY,1549332000.0,-34.76,-56.41,293.15,1.5,64.0
coahuayana,0.0,MX,1549336816.0,18.62,-100.35,287.361,0.91,62.0
ketchikan,90.0,US,1549335360.0,55.34,-131.65,269.85,1.5,87.0
ambilobe,24.0,MG,1549336816.0,-13.19,49.05,294.411,1.31,96.0
vaini,0.0,IN,1549332000.0,15.34,74.49,290.15,2.36,77.0
avarua,92.0,CK,1549333800.0,-21.21,-159.78,298.15,1,94.0
vestmannaeyjar,36.0,IS,1549336817.0,63.44,-20.27,277.486,12.11,97.0
albany,75.0,US,1549335240.0,42.65,-73.75,282.55,2.1,60.0
magnor,90.0,SE,1549335000.0,59.95,12.2,267.15,1.5,100.0
ouallam,0.0,NE,1549336818.0,14.32,2.08,291.236,4.81,30.0
nanortalik,92.0,GL,1549336818.0,60.14,-45.24,270.686,10.26,100.0
crestview,90.0,US,1549335480.0,30.76,-86.57,290.35,1.5,89.0
mackenzie,90.0,CA,1549335600.0,55.34,-123.09,250.15,2.1,76.0
port alfred,32.0,ZA,1549336819.0,-33.59,26.89,292.186,5.31,94.0
manzhouli,0.0,CN,1549336820.0,49.6,117.43,245.861,5.91,23.0
anadyr,90.0,RU,1549333800.0,64.73,177.51,261.15,4,85.0
carnarvon,0.0,ZA,1549336820.0,-30.97,22.13,285.386,3.91,83.0
atar,64.0,MR,1549336821.0,20.52,-13.05,292.111,6.51,17.0
alghero,0.0,IT,1549335000.0,40.56,8.32,277.15,1.5,93.0
naini tal,80.0,IN,1549336822.0,29.4,79.45,281.236,1.21,74.0
northam,75.0,GB,1549333200.0,51.04,-4.21,274.15,1,100.0
omsukchan,64.0,RU,1549336822.0,62.53,155.8,246.036,2.41,67.0
upernavik,0.0,GL,1549336822.0,72.79,-56.15,254.361,2.56,100.0
hithadhoo,48.0,MV,1549336823.0,-0.6,73.08,301.186,5.56,100.0
aanekoski,90.0,FI,1549335000.0,62.6,25.73,262.15,2.1,92.0
narsaq,88.0,GL,1549335000.0,60.91,-46.05,268.15,1.21,62.0
opuwo,12.0,NA,1549336824.0,-18.06,13.84,292.136,0.96,77.0
rio verde de mato grosso,8.0,BR,1549336824.0,-18.92,-54.84,297.036,1.51,77.0
hamilton,90.0,CA,1549335600.0,43.26,-79.87,285.15,7.2,87.0
whyalla,0.0,AU,1549332000.0,-33.04,137.58,299.15,7.7,50.0
mana,90.0,RS,1549335600.0,43.52,20.24,276.15,1,86.0
zhanaozen,0.0,KZ,1549336826.0,43.35,52.85,261.911,1.31,70.0
petropavlovsk-kamchatskiy,75.0,RU,1549333800.0,53.05,158.65,268.15,3,62.0
lodja,92.0,CD,1549336826.0,-3.52,23.6,295.336,0.86,98.0
matagami,8.0,NG,1549336827.0,9.67,8.4,288.086,1.61,60.0
port elizabeth,20.0,US,1549335360.0,39.31,-74.98,279.25,2.1,100.0
yining,92.0,CN,1549336827.0,29.04,114.56,279.936,1.61,98.0
neiafu,76.0,TO,1549336827.0,-18.65,-173.98,300.536,8.56,100.0
shimoda,75.0,JP,1549335600.0,34.7,138.93,284.15,8.2,61.0
lavrentiya,64.0,RU,1549336828.0,65.58,-170.99,267.411,12.66,94.0
petrinja,0.0,HR,1549333800.0,45.44,16.28,275.15,2.6,69.0
ngunguru,0.0,NZ,1549336829.0,-35.62,174.5,295.261,4.31,95.0
flinders,90.0,AU,1549335600.0,-34.58,150.85,295.15,2.6,100.0
klaksvik,0.0,FO,1549335000.0,62.23,-6.59,270.15,1,79.0
koulikoro,0.0,ML,1549335600.0,12.86,-7.56,299.15,7.2,21.0
aripuana,24.0,BR,1549336830.0,-9.17,-60.63,299.236,1.11,85.0
thompson,20.0,CA,1549332000.0,55.74,-97.86,244.15,2.1,68.0
washougal,90.0,US,1549335180.0,45.58,-122.35,273.75,1.66,88.0
yulara,0.0,AU,1549332000.0,-25.24,130.99,310.15,5.1,18.0
macapa,20.0,BR,1549335600.0,0.05,-51.07,300.15,4.1,100.0
mount isa,90.0,AU,1549335600.0,-20.73,139.49,296.15,10.3,100.0
malmyzh,88.0,RU,1549336832.0,56.52,50.68,253.586,7.91,76.0
grand gaube,40.0,MU,1549332000.0,-20.01,57.66,300.15,1,88.0
charleston,90.0,US,1549335240.0,38.35,-81.63,288.15,2.6,55.0
moose factory,90.0,CA,1549334820.0,51.26,-80.61,250.15,3.1,76.0
roald,0.0,NO,1549335000.0,62.58,6.12,267.15,1,85.0
fairbanks,90.0,US,1549335360.0,64.84,-147.72,263.45,1.66,79.0
souillac,90.0,FR,1549335600.0,45.6,-0.6,277.15,2.6,100.0
rio gallegos,0.0,AR,1549335600.0,-51.62,-69.22,288.15,2.6,77.0
coihaique,0.0,CL,1549335600.0,-45.58,-72.07,293.15,1,52.0
port lincoln,20.0,AU,1549336835.0,-34.72,135.86,295.686,7.26,76.0
belen,0.0,TR,1549335000.0,36.49,36.19,282.15,2.1,76.0
albemarle,1.0,US,1549335600.0,35.35,-80.2,284.15,1.16,71.0
wellington,0.0,NZ,1549333800.0,-41.29,174.78,296.15,10.8,56.0
nanjangud,8.0,IN,1549336836.0,12.12,76.68,294.086,2.41,82.0
harper,90.0,US,1549335540.0,30.3,-99.24,290.95,4.6,89.0
longyearbyen,20.0,NO,1549335000.0,78.22,15.63,268.15,1,79.0
edd,0.0,ER,1549336837.0,13.93,41.69,286.111,1.01,74.0
georgetown,20.0,GY,1549332000.0,6.8,-58.16,297.15,2.1,94.0
saldanha,8.0,PT,1549336838.0,41.42,-6.55,269.661,1.16,82.0
saskylakh,76.0,RU,1549336838.0,71.97,114.09,254.861,8.06,80.0
qaanaaq,0.0,GL,1549336838.0,77.48,-69.36,248.236,4.41,78.0
chipinge,36.0,ZW,1549336839.0,-20.19,32.62,292.786,1.26,97.0
deputatskiy,0.0,RU,1549336839.0,69.3,139.9,223.636,1.21,0.0
taltal,0.0,CL,1549336839.0,-25.41,-70.49,289.486,0.91,90.0
dauriya,0.0,RU,1549336839.0,49.93,116.85,245.611,5.81,24.0
timbo,90.0,US,1549335360.0,35.87,-92.32,292.55,1.21,93.0
itaituba,32.0,BR,1549336840.0,-4.26,-55.99,298.336,0.91,89.0
chuy,0.0,UY,1549336840.0,-33.69,-53.46,289.336,2.56,96.0
iqaluit,90.0,CA,1549335600.0,63.75,-68.52,256.15,9.3,77.0
ancud,75.0,CL,1549332000.0,-41.87,-73.83,287.15,6.2,100.0
clyde river,1.0,CA,1549332000.0,70.47,-68.59,250.15,9.3,63.0
kahului,40.0,US,1549335360.0,20.89,-156.47,298.15,7.2,68.0
pithoragarh,48.0,IN,1549336842.0,29.59,80.22,280.736,1.06,60.0
sebrovo,92.0,RU,1549336842.0,50.1,43.3,268.786,3.06,93.0
serenje,8.0,ZM,1549336843.0,-13.23,30.22,288.261,1.61,91.0
chifeng,24.0,CN,1549336843.0,42.27,118.96,263.536,1.76,35.0
avera,1.0,US,1549335300.0,33.19,-82.53,289.25,2.36,88.0
tezu,20.0,IN,1549336844.0,27.93,96.16,288.236,0.51,35.0
chokurdakh,8.0,RU,1549336844.0,70.62,147.9,234.361,3.96,77.0
concordia,8.0,AR,1549336844.0,-31.4,-58.02,291.861,5.26,75.0
namibe,36.0,AO,1549336845.0,-15.19,12.15,298.261,2.11,100.0
palembang,20.0,ID,1549333800.0,-2.99,104.76,300.15,2.6,88.0
east london,20.0,ZA,1549335600.0,-33.02,27.91,291.15,2.6,88.0
rocha,0.0,UY,1549336846.0,-34.48,-54.34,286.761,1.76,84.0
hofn,92.0,IS,1549336846.0,64.25,-15.21,275.236,6.46,100.0
sitka,12.0,US,1549336847.0,37.17,-99.65,278.111,5.11,65.0
hambantota,75.0,LK,1549332600.0,6.12,81.12,297.15,1.5,100.0
samarai,32.0,PG,1549336847.0,-10.62,150.67,304.861,3.71,91.0
kiunga,92.0,PG,1549336848.0,-6.12,141.3,296.386,1.26,99.0
kudahuvadhoo,80.0,MV,1549336848.0,2.67,72.89,301.236,5.66,100.0
haines junction,0.0,CA,1549336849.0,60.75,-137.51,246.886,0.71,60.0
lasa,0.0,CY,1549335000.0,34.92,32.53,289.15,5.1,38.0
ambon,90.0,FR,1549335600.0,47.55,-2.56,278.15,2.1,100.0
saint george,20.0,GR,1549335000.0,39.45,22.34,283.15,2.1,87.0
waipawa,0.0,NZ,1549336850.0,-39.94,176.59,299.686,7.21,43.0
dewas,32.0,IN,1549336850.0,22.96,76.05,295.336,4.16,41.0
beringovskiy,88.0,RU,1549336851.0,63.05,179.32,268.036,8.61,92.0
usinsk,0.0,RU,1549336851.0,66,57.56,236.911,1.31,61.0
ust-kuyga,36.0,RU,1549336852.0,70,135.55,227.886,1.61,0.0
sindor,36.0,RU,1549336852.0,62.87,51.9,249.111,5.01,57.0
garowe,88.0,SO,1549336852.0,8.41,48.48,288.936,3.16,95.0
hasaki,75.0,JP,1549335600.0,35.73,140.83,281.15,3.6,45.0
broken hill,8.0,AU,1549332000.0,-31.97,141.45,304.15,5.1,29.0
foki,24.0,RU,1549336853.0,56.69,54.35,251.911,3.96,59.0
port blair,0.0,IN,1549336853.0,11.67,92.75,300.636,4.66,100.0
sorland,80.0,NO,1549336854.0,67.67,12.69,271.786,5.61,100.0
pevek,80.0,RU,1549336854.0,69.7,170.27,248.736,1.31,100.0
marapanim,64.0,BR,1549336854.0,-0.71,-47.7,300.336,5.11,100.0
fountain hills,75.0,US,1549335480.0,33.61,-111.72,288.75,2.6,55.0
tazovskiy,68.0,RU,1549336855.0,67.47,78.7,250.761,1.46,67.0
sidney,90.0,US,1549335120.0,47.72,-104.16,251.45,2.1,83.0
zhigansk,8.0,RU,1549336856.0,66.77,123.37,246.936,4.81,68.0
abnub,0.0,EG,1549332000.0,27.27,31.15,286.15,6.2,71.0
provideniya,90.0,RU,1549333800.0,64.42,-173.23,270.15,12,79.0
tautira,75.0,PF,1549335600.0,-17.73,-149.15,302.15,3.6,74.0
yeppoon,100.0,AU,1549333800.0,-23.13,150.74,302.15,6.2,58.0
marzuq,0.0,YE,1549336858.0,14.4,46.47,278.486,0.96,81.0
batagay,8.0,RU,1549336858.0,67.65,134.64,225.261,1.31,0.0
coolum beach,68.0,AU,1549336858.0,-26.53,153.09,299.286,4.16,78.0
aljezur,48.0,PT,1549336859.0,37.31,-8.8,283.686,3.06,100.0
abrau-dyurso,0.0,RU,1549333800.0,44.7,37.6,276.15,8,93.0
kristiansund,0.0,NO,1549335000.0,63.12,7.73,268.15,2.6,79.0
grodkow,12.0,PL,1549333800.0,50.7,17.38,265.15,1.5,92.0
miquelon,56.0,PM,1549336860.0,47.1,-56.38,274.036,9.46,98.0
noumea,75.0,NC,1549335600.0,-22.28,166.46,304.15,9.8,58.0
alexandria,75.0,US,1549335300.0,31.31,-92.44,293.85,2.1,96.0
manohar thana,48.0,IN,1549336861.0,24.24,76.8,291.586,1.16,66.0
pisco,0.0,PE,1549332000.0,-13.71,-76.2,298.15,4.6,83.0
leh,76.0,IN,1549336862.0,34.16,77.58,251.761,0.36,78.0
talcahuano,90.0,CL,1549335600.0,-36.72,-73.12,288.15,2.6,93.0
sao joao do paraiso,24.0,BR,1549336862.0,-15.31,-42.01,297.186,3.36,62.0
conde,92.0,BR,1549336863.0,-11.81,-37.61,299.686,4.16,94.0
karratha,56.0,AU,1549336701.0,-20.74,116.85,308.686,2.76,49.0
panji,68.0,CN,1549336863.0,32.78,116.82,281.661,3.21,78.0
bubaque,32.0,GW,1549336863.0,11.28,-15.83,298.936,4.81,96.0
la huacana,0.0,MX,1549336864.0,18.96,-101.8,286.686,0.96,67.0
rawson,0.0,AR,1549336864.0,-43.3,-65.11,298.411,7.76,31.0
bulgan,36.0,MN,1549336864.0,48.81,103.53,245.936,1.76,64.0
dwarka,40.0,IN,1549333800.0,28.58,77.04,286.15,2.1,87.0
tambacounda,0.0,SN,1549336865.0,13.77,-13.67,294.511,3.46,40.0
nicoya,0.0,CR,1549335600.0,10.15,-85.45,301.15,7.7,51.0
bandarbeyla,92.0,SO,1549336866.0,9.49,50.81,297.911,7.61,100.0
san rafael,0.0,AR,1549336866.0,-34.61,-68.33,294.911,3.21,45.0
kargasok,12.0,RU,1549336867.0,59.06,80.87,234.886,1.86,74.0
khasan,0.0,RU,1549336867.0,42.43,130.64,269.536,6.91,81.0
razdolinsk,0.0,RU,1549336867.0,58.42,94.62,232.161,1.16,0.0
tshikapa,92.0,CD,1549336868.0,-6.42,20.79,294.336,1.26,100.0
wanning,20.0,AT,1549335000.0,48.64,13.53,267.15,1.5,92.0
kysyl-syr,0.0,RU,1549336868.0,63.9,122.77,240.361,2.56,42.0
cherskiy,48.0,RU,1549336868.0,68.75,161.3,241.536,0.91,75.0
te anau,0.0,NZ,1549336869.0,-45.41,167.72,290.386,5.66,52.0
faya,0.0,SA,1549332000.0,18.39,42.45,282.15,1.61,81.0
boblingen,0.0,DE,1549335000.0,48.68,9.02,272.15,1,86.0
izhma,12.0,RU,1549336871.0,65.01,53.91,250.186,3.56,69.0
kem,24.0,UG,1549336871.0,2.68,33.77,290.161,3.11,55.0
iguape,24.0,BR,1549336872.0,-24.7,-47.56,296.986,4.21,100.0
khorixas,0.0,NA,1549336872.0,-20.37,14.96,290.011,0.91,42.0
taksimo,44.0,RU,1549336873.0,56.36,114.84,236.536,1.16,54.0
dauphin,1.0,CA,1549335600.0,51.15,-100.04,247.15,1,75.0
ribeira grande,20.0,PT,1549336873.0,38.52,-28.7,289.586,6.61,99.0
high level,5.0,CA,1549332000.0,58.52,-117.13,245.15,2.1,68.0
severo-kurilsk,68.0,RU,1549336874.0,50.68,156.12,270.436,5.66,100.0
esperance,40.0,TT,1549332000.0,10.24,-61.45,297.15,2.6,88.0
vila velha,75.0,BR,1549335600.0,-3.71,-38.6,300.15,1.5,88.0
bilibino,12.0,RU,1549336874.0,68.06,166.44,240.836,1.01,38.0
mareeba,75.0,AU,1549333800.0,-16.99,145.42,303.15,3.1,74.0
prado,64.0,BR,1549336875.0,-17.34,-39.22,300.986,6.51,95.0
kopavogur,75.0,IS,1549335600.0,64.11,-21.91,274.15,7.2,69.0
vysokogornyy,20.0,RU,1549336876.0,50.1,139.13,248.511,3.46,54.0
talnakh,64.0,RU,1549336876.0,69.49,88.39,244.586,1.11,57.0
leningradskiy,68.0,RU,1549336876.0,69.38,178.42,251.186,2.31,93.0
katsuura,20.0,JP,1549335600.0,33.93,134.5,283.15,3.1,46.0
half moon bay,90.0,US,1549335360.0,37.46,-122.43,281.15,6.2,75.0
nanakuli,75.0,US,1549335420.0,21.39,-158.15,298.75,3.6,70.0
ilulissat,0.0,GL,1549335000.0,69.22,-51.1,266.15,7.7,44.0
vila franca do campo,75.0,PT,1549333800.0,37.72,-25.43,290.15,7.2,93.0
san francisco,75.0,US,1549335480.0,37.78,-122.42,280.35,3.1,76.0
vogar,75.0,IS,1549335600.0,63.98,-22.39,274.15,8.7,80.0
dabeiba,44.0,CO,1549336881.0,7,-76.27,291.911,0.71,96.0
port macquarie,0.0,AU,1549332000.0,-31.43,152.91,304.15,7.7,43.0
alofi,92.0,NU,1549336881.0,-19.06,-169.92,299.161,7.41,100.0
vallenar,0.0,CL,1549336882.0,-28.58,-70.76,290.686,0.41,92.0
san policarpo,100.0,PH,1549336882.0,12.18,125.51,298.736,6.11,99.0
montargis,90.0,FR,1549335600.0,48,2.74,275.15,1.5,98.0
geraldton,90.0,CA,1549332000.0,49.72,-86.95,249.15,4.1,69.0
husavik,48.0,CA,1549336883.0,50.56,-96.99,247.761,4.86,83.0
cap malheureux,75.0,MU,1549335600.0,-19.98,57.61,300.15,0.5,88.0
babu,0.0,CN,1549336884.0,23.23,104.89,290.911,1.36,62.0
dunedin,76.0,NZ,1549336884.0,-45.87,170.5,289.986,3.11,80.0
veraval,90.0,FR,1549335600.0,49.65,0.71,276.15,3.1,100.0
broome,0.0,GB,1549335360.0,52.47,1.45,272.15,2.6,100.0
indramayu,8.0,ID,1549336885.0,-4.05,103.78,299.686,1.06,85.0
luba,0.0,PH,1549336886.0,17.32,120.7,301.236,2.06,56.0
sao jose da coroa grande,92.0,BR,1549336886.0,-8.9,-35.15,298.486,2.96,98.0
